near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,,2455359.5,0.2734855829773029,4.018914588433502,2.919799389279779,12.04214023875896,292.3059110574836,265.1376909517026,359.922938608073,5.118029787587226,0.122332234670023,2455360.129935292,2942.80572059407,8.05696295850533,759.3329372,0.35653,749.1,OMB,2.3132
Y,N,30.876,2455599.5,0.6752347370171499,1.956289851479487,0.6353349880864164,1.069393226986978,138.0894834701879,275.8290443987089,16.66880636920985,3.277244714872558,0.3602087605150942,2455553.224594745,999.4204457581884,2.73626405409497,0.10719181729,0.020897,0.14836,APO,0.35312
N,N,16.4,2459000.5,0.01538553785788754,2.903580234073765,2.858907090459009,2.696074071919048,144.992056207824,343.1556708347213,138.2360772117738,2.948253377688521,0.1992064182700726,2458306.5661478066,1807.1706882051,4.94776369118439,728.9660021,1.3414e-05,0.00047701,MBA,0.61825
N,N,17.3,2459000.5,0.2454950982454576,2.328861682547797,1.757137554990644,3.886051163199133,106.1107057714229,205.8312026957788,197.3517738837104,2.90058581010495,0.277324686584803,2459586.990254868,1298.117396014493,3.55405173446815,289.48138031,4.3668e-06,7.7972e-05,MBA,0.54265
N,N,17.0,2459000.5,0.1369168000231466,3.112515223108607,2.686359598737246,1.875120600084585,156.9558639853947,228.45903817,314.1850571617985,3.538670847479968,0.1794885906887213,2459255.752674626,2005.698516093044,5.49130326103503,658.0047443,1.0937e-05,0.00037078,MBA,0.69016
N,N,18.052,2459000.5,0.02963745076843885,2.627541296511946,2.549667670694533,2.609134774771264,84.58442169257384,282.5015090465942,87.70863958571492,2.705414922329358,0.2314087349618116,2458621.4795641457,1555.688898517203,4.259244075338,602.6959039,8.6015e-06,0.00024108,MBA,0.67487
N,N,14.4,2459000.5,0.1880591842763829,2.686710772640059,2.181450136350799,14.06083040760344,62.88324650940854,317.1493936108939,324.6828103481193,3.191971408929319,0.2238065017120934,2459158.302339886,1608.532358291838,4.40392158327676,469.9344501,6.7283e-06,2.3089e-05,MBA,0.54186
N,N,16.2,2459000.5,0.01861882797294966,3.04040519388488,2.983796412611875,5.059683041447024,253.4550166788233,217.7118597658121,179.4265587723616,3.097013975157885,0.1859117655495708,2458035.383250977,1936.402459176318,5.30158099706042,779.3090333,8.3188e-06,0.00023983,MBA,0.65997
N,N,19.5,2459000.5,0.1985074534485856,2.19925243200502,1.762684432237095,2.788899354064346,262.5784647956002,85.36300073838501,263.5250724982011,2.635820431772945,0.3021979072955907,2459319.744194525,1191.272312974262,3.26152583976526,295.2827375,6.7497e-05,0.0044911,MBA,0.5383
N,N,13.6,2459000.5,0.111206250669184,2.270401493613474,2.017918655995004,4.066151368928972,307.7063034786557,270.1567707513339,219.7630207829349,2.522884331231944,0.2881045241766137,2459487.2572962204,1249.54650062806,3.4210718703027,395.1476512,3.289e-06,5.3262e-05,MBA,0.471
